bvid,pubdate,live_date,duration,cover,title
BV1VC4y1S7qQ,2023-11-10,2023-11-09,188:07,https://i0.hdslb.com/bfs/archive/f74ed7325d7c676ff94da13bd6d26eebd507dbf5.jpg,【女流】2023年11月9日录播《魔法工艺》《鹅鹅鸭》《糖豆人》P2
BV1Lc411X74W,2023-11-10,2023-11-09,188:06,https://i0.hdslb.com/bfs/archive/f74ed7325d7c676ff94da13bd6d26eebd507dbf5.jpg,【女流】2023年11月9日录播《魔法工艺》《鹅鹅鸭》《糖豆人》P1
BV1jH4y1B7gP,2023-11-09,2023-11-08,316:54,https://i0.hdslb.com/bfs/archive/ea1ce639c1628a46cf9f3234a0d36a021d271fb7.jpg,【女流】2023年11月8日录播《节奏鸽子》&《DON'T SCREAM》&《揍击派对》
BV1Nw411M7tt,2023-11-01,2023-11-01,324:06,https://i0.hdslb.com/bfs/archive/c2e7b80c2cf91cfd3de2c46ed08af44c6c0e2c9a.jpg,【女流】2023年11月1日录播《无畏契约》&《Rhythm Royale》
BV1MC4y1H7xp,2023-10-31,2023-10-31,274:53,https://i0.hdslb.com/bfs/archive/ea1ce639c1628a46cf9f3234a0d36a021d271fb7.jpg,【女流】2023年10月31日录播《Rhythm Royale》
BV1zG411C7gD,2023-10-30,2023-10-30,180:54,https://i0.hdslb.com/bfs/archive/d07cfe5b1b84f8e5aeadda194161c2f471ad5ff6.jpg,【女流】2023年10月30日录播《心灵杀手2》P2
BV16Q4y1H78a,2023-10-30,2023-10-30,180:53,https://i0.hdslb.com/bfs/archive/d07cfe5b1b84f8e5aeadda194161c2f471ad5ff6.jpg,【女流】2023年10月30日录播《心灵杀手2》P1
BV11C4y1n7Mu,2023-10-30,2023-10-30,180:54,https://i0.hdslb.com/bfs/archive/d07cfe5b1b84f8e5aeadda194161c2f471ad5ff6.jpg,【女流】2023年10月30日录播《心灵杀手2》P3
BV1De411971P,2023-10-29,2023-10-29,216:10,https://i0.hdslb.com/bfs/archive/d07cfe5b1b84f8e5aeadda194161c2f471ad5ff6.jpg,【女流】2023年10月29日录播《心灵杀手2》P1
BV1Cc411f7du,2023-10-29,2023-10-29,216:08,https://i0.hdslb.com/bfs/archive/d07cfe5b1b84f8e5aeadda194161c2f471ad5ff6.jpg,【女流】2023年10月29日录播《心灵杀手2》P2
BV1xM411X7yz,2023-10-28,2023-10-28,169:03,https://i0.hdslb.com/bfs/archive/d07cfe5b1b84f8e5aeadda194161c2f471ad5ff6.jpg,【女流】2023年10月28日录播《心灵杀手2》P1
BV1584y1X7FR,2023-10-28,2023-10-28,169:04,https://i0.hdslb.com/bfs/archive/d07cfe5b1b84f8e5aeadda194161c2f471ad5ff6.jpg,【女流】2023年10月28日录播《心灵杀手2》P2
BV1gy4y1A7c6,2023-10-26,2023-10-26,419:22,https://i0.hdslb.com/bfs/archive/7315f62556d8cfc0a412c4eb353be20187280346.jpg,【女流】2023年10月26日录播《蜘蛛侠2》
BV13j411i7VV,2023-10-25,2023-10-25,323:24,https://i0.hdslb.com/bfs/archive/7315f62556d8cfc0a412c4eb353be20187280346.jpg,【女流】2023年10月25日录播《蜘蛛侠2》
BV1cH4y1R7LU,2023-10-24,2023-10-24,221:59,https://i0.hdslb.com/bfs/archive/736ca9767f6bbf6db827ecc26b543164dcc284f7.jpg,【女流】2023年10月24日录播《超级马里奥兄弟 惊奇》P1
BV13Q4y1W7iV,2023-10-24,2023-10-24,221:59,https://i0.hdslb.com/bfs/archive/736ca9767f6bbf6db827ecc26b543164dcc284f7.jpg,【女流】2023年10月24日录播《超级马里奥兄弟 惊奇》P2
BV1dC4y137LR,2023-10-23,2023-10-23,262:01,https://i0.hdslb.com/bfs/archive/7315f62556d8cfc0a412c4eb353be20187280346.jpg,【女流】2023年10月23日录播《蜘蛛侠2》
BV1694y1L7y7,2023-10-23,2023-10-23,203:56,https://i0.hdslb.com/bfs/archive/736ca9767f6bbf6db827ecc26b543164dcc284f7.jpg,【女流】2023年10月23日录播《超级马里奥兄弟 惊奇》
BV1jQ4y1p7k6,2023-10-22,2023-10-21,265:26,https://i0.hdslb.com/bfs/archive/7315f62556d8cfc0a412c4eb353be20187280346.jpg,【女流】2023年10月21日录播《蜘蛛侠2》
BV1Ye411R7EV,2023-10-22,2023-10-22,87:25,https://i0.hdslb.com/bfs/archive/736ca9767f6bbf6db827ecc26b543164dcc284f7.jpg,【女流】2023年10月22日录播《超级马里奥兄弟 惊奇》
BV1J94y1L7V2,2023-10-22,2023-10-21,162:51,https://i0.hdslb.com/bfs/archive/736ca9767f6bbf6db827ecc26b543164dcc284f7.jpg,【女流】2023年10月21日录播《超级马里奥兄弟 惊奇》
BV17H4y197nx,2023-10-22,2023-10-22,266:01,https://i0.hdslb.com/bfs/archive/751ae6fd17d6707de7ac1c471a9a1fe6a8c4d8e1.jpg,【女流】2023年10月22日录播《蜘蛛侠2》
BV1wj411i72W,2023-10-20,2023-10-20,257:52,https://i0.hdslb.com/bfs/archive/9d2dabf021ee8e01e23b54a229e4f0005eb738f3.jpg,【女流】2023年10月20日录播《超级马里奥兄弟 惊奇》P1
BV1BN4y1C7Bp,2023-10-20,2023-10-20,257:52,https://i0.hdslb.com/bfs/archive/ad4fc8a9da792f1504937b4f9daac379623c1421.jpg,【女流】2023年10月20日录播《超级马里奥兄弟 惊奇》P2
