date,weekday,status,archive_entries,entry_titles,evidence,bounded_recordings_possible,note
2015-10-21,周三,entry-no-replay,"2015-10-21-live-01(live,no-replay)",这是一个伟大的游戏,listing homepage 15:59 「这是一个伟大的游戏」 | listing /directory/all 16:34 「这是一个伟大的游戏」 | tieba 4114807887 19:16 七点一刻了还在直播→监狱建筑师,,
2015-10-22,周四,entry-no-replay,"2015-10-22-live-01(live,no-replay)",我的世界,tieba 4118791119 10-23 求66昨天直播MC的光影,,
2015-10-23,周五,entry-with-replay,"2015-10-23-live-01(live,replay);2015-10-23-video-01(video,replay)",Undertale传说之下;【女流实况】逆转裁判：复苏的逆转第二章P2,room-snapshot 2015-10-24 12:30 thumb 2015-10-23 19:01 | listing homepage?vgtime 16:46 「这个游戏评分9.7服不服」,,
2015-10-25,周日,entry-with-replay,"2015-10-25-live-01(live,replay)",心灵砒霜,room-snapshot 2015-10-26 13:09 thumb 2015-10-25 18:28,,
2015-10-26,周一,entry-with-replay,"2015-10-26-live-01(live,replay)",Undertale传说之下,,,
2015-10-27,周二,entry-with-replay,"2015-10-27-live-01(live,replay)",Undertale传说之下,,,
2015-10-28,周三,entry-with-replay,"2015-10-28-live-01(live,replay)",Undertale传说之下二周目大结局,room-snapshot 2015-10-29 13:42 thumb 2015-10-28 18:26,,
2015-10-29,周四,entry-with-replay,"2015-10-29-live-01(live,replay)",Life is Strange奇异人生 第五章,bilibili 潇灬潇「女流返场聊天2015-11-4」实为本日晚间返场（内容定日）,,
2015-10-30,周五,entry-with-replay,"2015-10-30-live-01(live,replay);2015-10-30-video-01(live,replay)",心灵砒霜;【女流实况】千万不能看！,room-snapshot 2015-11-01 06:21 thumb 2015-10-30 18:08,,
2015-11-02,周一,live-confirmed-no-entry,,,room-snapshot 2015-11-03 22:54 thumb 2015-11-02 17:39 | tieba 3890035389 16:05 今天加了几首,,
2015-11-04,周三,entry-no-replay,"2015-11-04-live-01(live,no-replay)",poly bridge更新关卡,listing homepage 15:48 「poly bridge更新关卡」 | listing /directory/all 16:00 「poly bridge更新关卡」 | tieba 4141705074 11-05 昨天直播说海淘APP,,
2015-11-05,周四,entry-no-replay,"2015-11-05-live-01(live,no-replay)",我的世界,tieba 4142387145 16:58 现在正在直播; 4142466866 17:24 MC装修队,,
2015-11-06,周五,live-confirmed-no-entry,"2015-11-06-video-01(video,replay)",【女流实况】国王密使第一章P1,room-snapshot 2015-11-08 12:09 thumb 2015-11-06 18:42,,
2015-11-08,周日,entry-with-replay,"2015-11-08-live-01(live,replay)",心灵砒霜,room-snapshot 2015-11-08 16:25 thumb 2015-11-08 16:22 | room-snapshot LIVE@16:25 「明天周一你们心痛么」,,
2015-11-10,周二,entry-no-replay,"2015-11-10-live-01(live,no-replay)",提醒我每天两关小象露露,listing /directory/all 15:23 「提醒我每天两关小象露露」,,
2015-11-11,周三,live-confirmed-no-entry,,,tieba 4153248856 16:23 今天一听66说亏本; 4154031653 小桀送火箭,,
2015-11-12,周四,live-confirmed-no-entry,,,room-snapshot 2015-11-13 15:40 thumb 2015-11-12 17:10 | room-snapshot 2015-11-14 00:01 thumb 2015-11-12 17:10,,
2015-11-15,周日,entry-with-replay,"2015-11-15-live-01(live,replay)",心灵砒霜,room-snapshot 2015-11-16 09:22 thumb 2015-11-15 18:40 | tieba 4163652292 网盘分享页 古墓丽影10-2.flv 2015-11-15 14:05（gljj1986）；标题「上午古墓，下午砒霜」,,
2015-11-16,周一,entry-with-replay,"2015-11-16-live-01(live,replay)",女流贴吧歌友会,tieba 4163411646 19:25 截图 标题「先古墓，再歌会」；4163497613 歌会结果帖,,
2015-11-17,周二,live-confirmed-no-entry,,,room-snapshot 2015-11-18 13:07 thumb 2015-11-17 18:24 | room-snapshot 2015-11-18 13:23 thumb 2015-11-17 18:24,,
2015-11-18,周三,live-confirmed-no-entry,,,room-snapshot 2015-11-19 03:05 thumb 2015-11-18 19:12 | room-snapshot 2015-11-22 22:15 thumb 2015-11-18 19:12,,
2015-11-24,周二,entry-no-replay,"2015-11-24-live-01(live,no-replay)",士别三日当chuox,room-snapshot 2015-11-24 15:23 thumb 2015-11-24 15:16 | room-snapshot LIVE@15:23 「士别三日当chuox」 | listing /directory/all 15:20 「士别三日当chuox」 | listing /directory/game/TVgame 15:21 「士别三日当chuox」 | listing /directory/all 15:30 「士别三日当chuox」,,
2015-11-25,周三,entry-with-replay,"2015-11-25-live-01(live,replay)",古墓丽影10：崛起,,,
2015-11-26,周四,entry-with-replay,"2015-11-26-live-01(live,replay)",心灵砒霜,,,
2015-11-27,周五,entry-with-replay,"2015-11-27-live-01(live,replay)",古墓丽影还不结局,room-snapshot 2015-11-27 17:34 thumb 2015-11-27 17:30 | room-snapshot LIVE@17:34 「古墓丽影还不结局」 | listing /directory/all 17:36 「古墓丽影还不结局」,,
2015-11-30,周一,entry-no-replay,"2015-11-30-live-01(live,no-replay)",聊一个小时睡觉,tieba 4190113693 12-01 昨晚女流下直播前,,
2015-12-01,周二,cross-midnight-tail,,,room-snapshot 2015-12-01 02:35 thumb 2015-12-01 00:03,ac2376661 节奏天国精剪,缩略图 00:03 是 11-30 晚间那场跨零点的尾巴，归 2015-11-30-live-01，不是单独一天
2015-12-02,周三,bounded-window,,,,ac2376661 节奏天国精剪,
2015-12-03,周四,entry-no-replay,"2015-12-03-live-01(live,no-replay)",3ds节奏天国,room-snapshot 2015-12-04 11:14 thumb 2015-12-03 21:24 | tieba 4194661273 21:47 今天播的3ds那首歌,ac2376661 节奏天国精剪,
2015-12-04,周五,live-confirmed-no-entry,,,room-snapshot 2015-12-06 15:16 thumb 2015-12-04 19:53,ac2376661 节奏天国精剪,
2015-12-05,周六,bounded-window,,,,ac2376661 节奏天国精剪,
2015-12-06,周日,live-confirmed-no-entry,,,room-snapshot LIVE@15:16 「今天会早点下」 | listing /directory/all 15:41 「今天会早点下」,ac2376661 节奏天国精剪,
2015-12-07,周一,entry-with-replay,"2015-12-07-live-01(live,replay)",《节奏天国》治好多年颈椎病,tieba 4202216129 12-08 66昨天播的是啥游戏,ac2376661 节奏天国精剪,
2015-12-08,周二,live-confirmed-no-entry,,,room-snapshot 2015-12-09 10:17 thumb 2015-12-08 19:03 | room-snapshot 2015-12-10 03:54 thumb 2015-12-08 19:03,,
2015-12-11,周五,entry-no-replay,"2015-12-11-live-01(live,dead-src)",女流发姐逛故宫,room-snapshot 2015-12-12 09:51 thumb 2015-12-11 19:49 | tieba 4208485284 录像 20151211 女流发姐逛故宫,,
2015-12-13,周日,entry-with-replay,"2015-12-13-live-01(live,replay)",心灵砒霜,,,
2015-12-15,周二,entry-no-replay,"2015-12-15-live-01(live,no-replay)",路易鬼屋是个好游戏,room-snapshot 2015-12-16 06:19 thumb 2015-12-15 18:52 | tieba 4214892776 11:05 App 截图 标题「路易鬼屋是个好游戏」（未开播）,,
2015-12-17,周四,live-confirmed-no-entry,,,room-snapshot 2015-12-17 23:35 thumb 2015-12-17 19:07 | room-snapshot 2015-12-18 03:39 thumb 2015-12-17 19:07 | room-snapshot 2015-12-19 08:04 thumb 2015-12-17 19:07 | tieba 4218921743 16:35 今天直播的封面; 4219372923 21:16 黑屏火箭,,
2015-12-19,周六,entry-with-replay,"2015-12-19-live-01(live,replay)",心灵砒霜,tieba 4222245206 16:19 今天66直播吐舌头,,
2015-12-22,周二,entry-no-replay,"2015-12-22-live-01(live,no-replay)",Rusty lake生锈小湖12月章,room-snapshot 2015-12-22 22:53 thumb 2015-12-22 22:45 | room-snapshot LIVE@22:53 「Rusty lake生锈小湖12月章」 | room-snapshot 2015-12-22 23:11 thumb 2015-12-22 22:54 | tieba 4228124688 22:04 今天玩的锈湖旅馆,,
2015-12-23,周三,entry-no-replay,"2015-12-23-live-01(live,no-replay)",任天堂3ds路易鬼屋,listing /directory/cateTag/TVgame/20 16:59 「任天堂3ds路易鬼屋」 | listing homepage?vgtime 16:11,,
2015-12-24,周四,entry-with-replay,"2015-12-24-live-01(live,replay)",MC圣诞建筑大赛（女流作品打分视角）,,,
2015-12-25,周五,entry-no-replay,"2015-12-25-live-01(live,no-replay)",圣诞节直播（模仿各主播）,room-snapshot 2015-12-27 14:59 thumb 2015-12-25 19:51 | room-snapshot 2015-12-27 15:16 thumb 2015-12-25 19:51 | tieba 4233178491 20:01 今天直播的BGM; 4234180028 模仿各个主播 | listing /directory/tag 19:24 「还是圣诞快乐吧」,,
2015-12-26,周六,hiatus,,,,,感冒请病假（快照标题），12-29 仍有一次开播
2015-12-27,周日,hiatus,,,,,感冒请病假（快照标题），12-29 仍有一次开播
2015-12-28,周一,hiatus,,,,,感冒请病假（快照标题），12-29 仍有一次开播
2015-12-29,周二,live-confirmed-no-entry,"2015-12-29-video-01(video,replay)",【女流直播生放送】Rusty Lake生锈小湖Hotel新章实况录像,room-snapshot 2016-01-01 02:14 thumb 2015-12-29 18:00 | room-snapshot 2016-01-01 08:18 thumb 2015-12-29 18:00,,感冒请病假（快照标题），12-29 仍有一次开播
2015-12-30,周三,hiatus,,,,,感冒请病假（快照标题），12-29 仍有一次开播
2015-12-31,周四,hiatus,,,,,感冒请病假（快照标题），12-29 仍有一次开播
