date,weekday,status,archive_entries,entry_titles,evidence,bounded_recordings_possible,note
2015-03-23,周一,entry-no-replay,"2015-03-23-live-01(live,no-replay)",我是谁？,tieba 3654480373 17:38 直播间分享卡片「我是谁？」＋奥日画面；ac1805046（小桀）时钟 14:27 客串,,
2015-03-25,周三,entry-with-replay,"2015-03-25-live-01(live,replay)",港版PS4开箱,listing homepage 13:51 「港版PS4开箱」 | listing homepage 13:56 「港版PS4开箱」 | listing /directory/game/TVgame 13:57 「港版PS4开箱」 | listing /directory/all 14:01 「港版PS4开箱」 | tieba 3658284989 13:49 转发直播间「港版PS4开箱」,,
2015-03-27,周五,entry-no-replay,"2015-03-27-live-01(live,no-replay)",女流GTA5线上模式,room-snapshot 2015-03-27 23:03 thumb 2015-03-27 18:18,,
2015-03-30,周一,live-confirmed-no-entry,,,room-snapshot 2015-03-31 14:56 thumb 2015-03-30 19:11,,
2015-03-31,周二,entry-no-replay,"2015-03-31-live-01(live,no-replay)",女流GTA5,room-snapshot LIVE@14:56 「女流GTA5」,,
2015-04-03,周五,entry-no-replay,"2015-04-03-live-01(live,no-replay)",霸道总裁爱上。。。谁,room-snapshot 2015-04-03 18:53 thumb 2015-04-03 18:40 | room-snapshot 2015-04-04 01:46 thumb 2015-04-03 18:40 | room-snapshot 2015-04-06 15:24 thumb 2015-04-03 18:40 | listing /directory/game/TVgame 18:14 「霸道总裁爱上。。。谁」,,
2015-04-06,周一,bounded-window,,,,ac1839929 南瓜先生,
2015-04-07,周二,bounded-window,"2015-04-07-video-01(video,replay)",吓得我赶紧退出游戏[Lakeview cabin collections],,ac1839929 南瓜先生,
2015-04-08,周三,bounded-window,,,,ac1839929 南瓜先生,
2015-04-09,周四,bounded-window,,,,ac1839929 南瓜先生,
2015-04-10,周五,entry-no-replay,"2015-04-10-live-01(live,no-replay)",霸道间谍爱上。。我,listing /directory/game/TVgame 18:22 「霸道间谍爱上。。我」 | tieba 4341245430（2016 回忆）四月十号播赤途,ac1839929 南瓜先生,
2015-04-11,周六,bounded-window,,,,ac1839929 南瓜先生,
2015-04-12,周日,bounded-window,,,,ac1839929 南瓜先生,
2015-04-13,周一,reported-or-probable,,,tieba 4341245430（2016 回忆）四月十三号播赤途,ac1839929 南瓜先生,
2015-04-14,周二,bounded-window,,,,ac1839929 南瓜先生,
2015-04-15,周三,reported-or-probable,,,tieba 5417340368（2017 回忆）2015.4.15 第一次播潜伏之赤途大结局,,
2015-04-20,周一,live-confirmed-no-entry,,,tieba 3713531707 22:22 在直播间喊了一下午问游戏名→答 fire point,,
2015-04-23,周四,live-confirmed-no-entry,,,room-snapshot 2015-04-24 04:12 thumb 2015-04-23 19:12 | tieba 04-26 02:57 周四66预告有个手游,,
2015-04-24,周五,entry-no-replay,"2015-04-24-live-01(live,no-replay)",传送门2女流被喷记,room-snapshot 2015-04-24 20:11 thumb 2015-04-24 18:11 | room-snapshot 2015-04-27 01:42 thumb 2015-04-24 18:11,,
2015-04-28,周二,entry-no-replay,"2015-04-28-live-01(live,no-replay)",FEZ是一个神奇的游戏,listing /directory/game/TVgame 14:48 「FEZ是一个神奇的游戏」 | tieba 3727220108 17:51 正在直播,,
