date,game,is_show,ac_ids,count,titles
2016-10-07,战斗方块剧场,False,3160298,1,女流-10.7-战斗方块剧场
2016-10-09,心灵砒霜,True,3164916,1,女流-10.9-心灵砒霜
2016-10-13,PlayStation VR中国新品发布会,False,3175879,1,女流-10.13-PlayStation VR中国新品发布会
2016-10-14,仙剑奇侠传3D回合,False,3178955,1,女流-10.14-仙剑奇侠传3D回合
2016-10-16,心灵砒霜,True,3183453,1,女流-10.16-心灵砒霜
2016-10-20,做头发,False,3193762,1,女流-10.20-做头发
2016-10-20,聊天,True,3193768,1,女流-10.20-聊天
2016-10-21,生锈小湖,False,3196655,1,女流-10.21-生锈小湖
2016-10-23,心灵砒霜,True,3200852,1,女流-10.23-心灵砒霜
2016-10-24,后宫三千人P0P1,False,3204283,1,女流-10.24-后宫三千人P0P1
2016-10-24,后宫三千人P2P3,False,3203589,1,女流-10.24-后宫三千人P2P3
2016-10-25,微博峰会,False,3205854,1,女流-10.25-微博峰会
2016-10-26,VR体验拍摄,False,3209456,1,女流-10.26-VR体验拍摄
2016-10-27,后宫三千人P1P3P4,False,3210928,1,女流-10.27-后宫三千人P1P3P4
2016-10-27,后宫三千人P2,False,3211585,1,女流-10.27-后宫三千人P2
2016-10-28,后宫三千人,False,3214138,1,女流-10.28-后宫三千人-day3-完结-皇后篇伪结局
2016-10-30,心灵砒霜,True,3219712,3218018,2,女流-10.30-心灵砒霜-弹幕版 | 女流-10.30-心灵砒霜
2016-11-06,心灵砒霜,True,3237639,3235414,2,女流-11.6-心灵砒霜-弹幕版 | 女流-11.6-心灵砒霜
2016-11-07,女流教你如何练习劈叉神功！,False,3237732,1,女流-11.7-女流教你如何练习劈叉神功！
2016-11-08,我的电台inside my radio,False,3240551,1,女流-11.8-我的电台inside my radio
2016-11-09,松鼠大作战,False,3242894,1,女流-11.9-松鼠大作战
2016-11-11,战斗方块剧场,False,3248717,1,女流-11.11-战斗方块剧场
2016-11-12,女流歌友会谁是真正电音之王！,False,3250678,1,女流-11.12-女流歌友会谁是真正电音之王！
2016-11-13,学霸是如何炼成的,False,3254280,3252326,2,女流-11.13-学霸是如何炼成的 | 女流-11.13-学霸是如何炼成的
2016-11-14,Things change，roll with it,False,3254432,1,女流-11.14-Things change，roll with it
2016-11-15,百战天虫,False,3257419,1,女流-11.15-百战天虫
2016-11-16,大厦管理者,False,3259813,1,女流-11.16-大厦管理者
2016-11-17,节奏天国,False,3262194,1,女流-11.17-节奏天国
2016-11-18,这是警察,False,3265237,1,女流-11.18-这是警察
2016-11-19,极限竞速：地平线 3,False,3267468,1,女流-11.19-极限竞速：地平线 3
2016-11-20,心灵砒霜,True,3269864,3269665,2,女流-11.20-心灵砒霜-弹幕版 | 女流-11.20-心灵砒霜
2016-11-21,黑魂3DLC,False,3272324,1,女流-11.21-黑魂3DLC-day1
2016-11-22,黑魂3DLC,False,3274811,1,女流-11.22-黑魂3DLC-day2
2016-11-23,黑暗之魂3DLC,False,3277637,1,女流-11.23-黑暗之魂3DLC-day3
2016-11-24,黑暗之魂3DLC,False,3280444,1,女流-11.24-黑暗之魂3DLC-day4
2016-11-25,黑暗之魂3DLC,False,3283032,1,女流-11.25-黑暗之魂3DLC-day5
2016-11-26,健身,True,3285025,1,女流-11.26-健身
2016-11-26,战斗方块剧场,False,3287740,3284988,2,女流-11.26-战斗方块剧场 | 女流-11.26-战斗方块剧场
2016-11-27,心灵砒霜,True,3289507,3287282,2,女流-11.27-心灵砒霜-弹幕版 | 女流-11.27-心灵砒霜
2016-11-29,在京都,False,3297657,1,女流-11.29-在京都-day2-part2
2016-12-03,王府井,False,3302357,1,女流-12.3-王府井
2016-12-04,心灵砒霜,True,3305136,3304385,2,女流-12.4-心灵砒霜-弹幕版 | 女流-12.4-心灵砒霜
2016-12-05,最终幻想15,False,3307418,1,女流-12.5-最终幻想15
2016-12-07,吃火锅？！,False,3312290,1,女流-12.7-吃火锅？！
2016-12-07,最后的守护者,False,3312391,1,女流-12.7-最后的守护者
2016-12-08,最后的守护者,False,3315291,1,女流-12.8-最后的守护者
2016-12-09,最后的守护者,False,3317908,1,女流-12.9-最后的守护者-完结
2016-12-10,健身,True,3320202,1,女流-12.10-健身
2016-12-10,煮糊了(overcooked),False,3320199,1,女流-12.10-煮糊了(overcooked)
2016-12-11,心灵砒霜,True,3324519,3322063,2,女流-12.11-心灵砒霜-弹幕版 | 女流-12.11-心灵砒霜
2016-12-12,手机直播,False,3324711,1,女流-12.12-手机直播
2016-12-12,零号事件(event[0]),False,3324703,1,女流-12.12-零号事件(event[0])
2016-12-14,出门溜达溜达憋坏啦,False,3329447,1,女流-12.14-出门溜达溜达憋坏啦
